user_id,booking_id,created_at,status,checkin_status,booking_start_time,booking_end_time,is_demo
322,82,2023-02-22 14:27:39.530342 UTC,completed,checkInNotAvailable,2023-03-01 07:00:00.000000 UTC,2023-03-01 17:00:00.000000 UTC,FALSE
116,83,2023-02-28 05:48:23.437559 UTC,completed,checkedIn,2023-02-28 06:00:00.000000 UTC,2023-02-28 17:30:00.000000 UTC,FALSE
184,84,2023-03-01 16:22:20.138118 UTC,cancelled,notCheckedIn,2023-03-07 05:00:00.000000 UTC,2023-03-07 17:30:00.000000 UTC,FALSE
31,85,2023-03-03 07:09:39.894935 UTC,completed,checkedIn,2023-03-08 07:45:00.000000 UTC,2023-03-08 17:30:00.000000 UTC,FALSE
206,86,2023-03-05 07:24:05.156433 UTC,cancelled,notCheckedIn,2023-03-07 05:00:00.000000 UTC,2023-03-07 17:30:00.000000 UTC,FALSE
326,87,2023-03-11 20:08:58.494285 UTC,completed,checkedIn,2023-03-14 05:00:00.000000 UTC,2023-03-14 17:30:00.000000 UTC,FALSE
246,88,2023-03-13 13:16:26.658820 UTC,editedByUser,checkInNotAvailable,2023-03-16 08:30:00.000000 UTC,2023-03-16 18:00:00.000000 UTC,FALSE
91,89,2023-03-14 06:53:27.302088 UTC,completed,checkInNotAvailable,2023-03-14 07:00:00.000000 UTC,2023-03-14 17:00:00.000000 UTC,FALSE
17,90,2023-03-15 05:12:20.137906 UTC,completed,checkedIn,2023-03-27 04:00:00.000000 UTC,2023-03-27 16:30:00.000000 UTC,FALSE
28,91,2023-03-23 10:35:36.477916 UTC,cancelled,notCheckedIn,2023-03-27 04:00:00.000000 UTC,2023-03-27 16:30:00.000000 UTC,FALSE
67,92,2023-03-24 10:37:50.137252 UTC,cancelled,notCheckedIn,2023-03-28 04:00:00.000000 UTC,2023-03-28 16:30:00.000000 UTC,FALSE
94,93,2023-03-27 20:22:22.639422 UTC,completed,checkInNotAvailable,2023-03-28 05:00:00.000000 UTC,2023-03-28 16:00:00.000000 UTC,FALSE
236,94,2023-04-03 07:52:57.904780 UTC,completed,checkInNotAvailable,2023-04-03 08:00:00.000000 UTC,2023-04-03 16:00:00.000000 UTC,FALSE
168,95,2023-04-05 07:24:47.235135 UTC,completed,checkedIn,2023-04-06 06:00:00.000000 UTC,2023-04-06 17:00:00.000000 UTC,FALSE
174,96,2023-04-05 07:35:32.608103 UTC,cancelled,notCheckedIn,2023-04-05 07:45:00.000000 UTC,2023-04-05 17:00:00.000000 UTC,FALSE
174,97,2023-04-05 10:48:18.825227 UTC,,checkedIn,2023-04-05 07:45:00.000000 UTC,2023-04-05 17:00:00.000000 UTC,FALSE
165,98,2023-04-05 12:30:22.075543 UTC,,checkedIn,2023-04-06 10:00:00.000000 UTC,2023-04-06 17:00:00.000000 UTC,FALSE
214,99,2023-04-13 07:06:03.879673 UTC,,checkedIn,2023-04-13 07:15:00.000000 UTC,2023-04-13 17:00:00.000000 UTC,FALSE
308,100,2023-04-18 03:17:21.400781 UTC,,checkInNotAvailable,2023-04-18 05:00:00.000000 UTC,2023-04-18 17:00:00.000000 UTC,FALSE
1177,101,2023-04-24 12:55:11.591617 UTC,,notCheckedIn,2023-04-24 13:00:00.000000 UTC,2023-04-24 16:00:00.000000 UTC,FALSE
856,102,2023-04-25 11:17:21.189204 UTC,,notCheckedIn,2023-04-26 06:00:00.000000 UTC,2023-04-26 13:00:00.000000 UTC,FALSE
1183,103,2023-05-04 07:12:06.320056 UTC,,notCheckedIn,2023-05-04 07:15:00.000000 UTC,2023-05-04 16:30:00.000000 UTC,FALSE
209,104,2023-05-09 04:05:43.350831 UTC,,checkedIn,2023-05-09 04:15:00.000000 UTC,2023-05-09 16:30:00.000000 UTC,FALSE
285,105,2022-10-30 16:47:53.978567 UTC,,checkInNotAvailable,2022-11-01 07:00:00.000000 UTC,2022-11-01 17:00:00.000000 UTC,FALSE
216,106,2022-10-31 07:10:57.645711 UTC,,checkedIn,2022-10-31 07:00:00.000000 UTC,2022-10-31 18:00:00.000000 UTC,FALSE
186,107,2022-11-01 10:13:24.879473 UTC,,checkedIn,2022-11-01 11:00:00.000000 UTC,2022-11-01 17:30:00.000000 UTC,FALSE
111,108,2022-11-02 08:12:58.617741 UTC,,checkedIn,2022-11-02 05:00:00.000000 UTC,2022-11-02 17:30:00.000000 UTC,FALSE
239,109,2022-11-03 08:46:44.149680 UTC,,readyForNonQRCheckIn,2022-11-03 09:30:00.000000 UTC,2022-11-03 11:30:00.000000 UTC,FALSE
289,110,2022-11-03 09:09:22.265417 UTC,,notCheckedIn,2022-11-10 06:00:00.000000 UTC,2022-11-10 18:00:00.000000 UTC,FALSE
252,111,2022-11-04 07:25:04.372344 UTC,,checkInNotAvailable,2022-11-04 07:30:00.000000 UTC,2022-11-04 17:00:00.000000 UTC,FALSE
96,112,2022-11-06 14:38:34.204536 UTC,,checkInNotAvailable,2022-11-09 06:00:00.000000 UTC,2022-11-09 17:00:00.000000 UTC,FALSE
65,113,2022-11-14 07:27:34.187984 UTC,,checkedIn,2022-11-15 05:00:00.000000 UTC,2022-11-15 17:30:00.000000 UTC,FALSE
201,114,2022-11-14 13:53:54.246996 UTC,,checkedIn,2022-11-14 05:00:00.000000 UTC,2022-11-14 13:54:42.547000 UTC,FALSE
135,115,2022-11-15 13:08:20.121784 UTC,,checkedIn,2022-11-22 05:00:00.000000 UTC,2022-11-22 17:30:00.000000 UTC,FALSE
135,116,2022-11-15 13:08:32.799807 UTC,,notCheckedIn,2022-11-23 05:00:00.000000 UTC,2022-11-23 17:30:00.000000 UTC,FALSE
184,117,2022-11-21 08:47:04.132807 UTC,,checkedIn,2022-11-22 05:00:00.000000 UTC,2022-11-22 17:30:00.000000 UTC,FALSE
214,118,2022-11-21 13:11:50.849498 UTC,,notCheckedIn,2022-11-23 07:00:00.000000 UTC,2022-11-23 18:00:00.000000 UTC,FALSE
255,119,2022-11-22 22:53:08.844885 UTC,,checkInNotAvailable,2022-11-23 06:00:00.000000 UTC,2022-11-23 17:00:00.000000 UTC,FALSE
74,120,2022-11-25 07:40:43.457237 UTC,,notCheckedIn,2022-11-25 09:00:00.000000 UTC,2022-11-25 18:00:00.000000 UTC,FALSE
214,121,2022-11-29 10:26:20.093406 UTC,,notCheckedIn,2022-12-01 07:00:00.000000 UTC,2022-12-01 18:00:00.000000 UTC,FALSE
31,122,2022-11-30 09:23:09.396794 UTC,,notCheckedIn,2022-12-05 08:00:00.000000 UTC,2022-12-05 17:30:00.000000 UTC,FALSE
320,123,2022-11-30 13:11:18.533405 UTC,,checkInNotAvailable,2022-11-30 06:00:00.000000 UTC,2022-11-30 18:00:00.000000 UTC,FALSE
251,124,2022-12-02 05:27:45.703052 UTC,,checkInNotAvailable,2022-12-02 06:00:00.000000 UTC,2022-12-02 11:00:00.000000 UTC,FALSE
273,125,2022-12-04 14:09:50.639566 UTC,,notCheckedIn,2022-12-09 08:00:00.000000 UTC,2022-12-09 16:30:00.000000 UTC,FALSE
211,126,2022-12-05 07:52:15.467430 UTC,,checkedIn,2022-12-05 08:00:00.000000 UTC,2022-12-05 17:30:00.000000 UTC,FALSE
319,127,2022-12-05 13:03:46.721183 UTC,,notCheckedIn,2022-12-05 13:30:00.000000 UTC,2022-12-05 18:00:00.000000 UTC,FALSE
28,128,2022-12-10 17:32:44.825756 UTC,,checkedIn,2022-12-12 05:00:00.000000 UTC,2022-12-12 17:30:00.000000 UTC,FALSE
28,129,2022-12-10 17:34:36.803757 UTC,,notCheckedIn,2022-12-19 05:00:00.000000 UTC,2022-12-19 17:30:00.000000 UTC,FALSE
311,130,2022-12-13 08:48:03.250627 UTC,,notCheckedIn,2022-12-20 08:00:00.000000 UTC,2022-12-20 17:30:00.000000 UTC,FALSE
251,131,2022-12-16 14:52:33.090400 UTC,,checkInNotAvailable,2022-12-21 06:00:00.000000 UTC,2022-12-21 16:00:00.000000 UTC,FALSE
174,132,2022-12-21 23:13:47.553413 UTC,,notCheckedIn,2022-12-22 10:45:00.000000 UTC,2022-12-22 18:00:00.000000 UTC,FALSE
221,133,2023-01-16 07:19:07.344773 UTC,,checkedIn,2023-01-18 07:00:00.000000 UTC,2023-01-18 18:00:00.000000 UTC,FALSE
17,134,2023-01-16 07:47:26.249928 UTC,,notCheckedIn,2023-01-16 08:00:00.000000 UTC,2023-01-16 17:30:00.000000 UTC,FALSE
219,135,2023-01-16 14:44:39.507251 UTC,,notCheckedIn,2023-01-18 08:30:00.000000 UTC,2023-01-18 18:00:00.000000 UTC,FALSE
307,136,2023-01-23 07:10:06.375660 UTC,,checkInNotAvailable,2023-01-26 06:00:00.000000 UTC,2023-01-26 18:00:00.000000 UTC,FALSE
816,137,2023-02-01 10:32:48.610906 UTC,,notCheckedIn,2023-02-02 08:00:00.000000 UTC,2023-02-02 12:30:00.000000 UTC,FALSE
178,138,2023-02-03 07:54:59.056511 UTC,,notCheckedIn,2023-02-06 07:00:00.000000 UTC,2023-02-06 18:00:00.000000 UTC,FALSE
843,139,2023-02-10 13:22:09.446635 UTC,,notCheckedIn,2023-02-14 05:00:00.000000 UTC,2023-02-14 17:30:00.000000 UTC,FALSE
61,140,2023-02-22 09:06:14.203339 UTC,,checkedIn,2023-02-28 05:00:00.000000 UTC,2023-02-28 17:30:00.000000 UTC,FALSE
6,141,2023-02-22 11:05:05.750710 UTC,,notCheckedIn,2023-03-03 06:00:00.000000 UTC,2023-03-03 17:00:00.000000 UTC,FALSE
228,142,2023-02-23 07:42:40.166279 UTC,,checkedIn,2023-02-23 07:00:00.000000 UTC,2023-02-23 18:00:00.000000 UTC,FALSE
84,143,2023-02-27 12:34:11.135159 UTC,,notCheckedIn,2023-03-01 08:00:00.000000 UTC,2023-03-01 18:00:00.000000 UTC,FALSE
9,144,2023-02-28 08:05:07.655972 UTC,,notCheckedIn,2023-02-28 08:15:00.000000 UTC,2023-02-28 17:00:00.000000 UTC,FALSE
837,145,2023-03-08 10:05:58.880289 UTC,,checkedIn,2023-03-08 09:00:00.000000 UTC,2023-03-08 18:00:00.000000 UTC,FALSE
224,146,2023-03-13 07:39:45.349053 UTC,,checkedIn,2023-03-15 07:00:00.000000 UTC,2023-03-15 18:00:00.000000 UTC,FALSE
317,147,2023-03-14 08:23:12.353272 UTC,,checkInNotAvailable,2023-03-15 08:30:00.000000 UTC,2023-03-15 14:00:00.000000 UTC,FALSE
857,148,2023-03-15 23:32:36.299297 UTC,,notCheckedIn,2023-03-16 07:00:00.000000 UTC,2023-03-16 18:00:00.000000 UTC,FALSE
183,149,2023-03-20 08:07:54.210154 UTC,,checkedIn,2023-03-20 08:30:00.000000 UTC,2023-03-20 17:30:00.000000 UTC,FALSE
236,150,2023-03-24 09:33:40.460283 UTC,,checkInNotAvailable,2023-03-29 05:00:00.000000 UTC,2023-03-29 16:00:00.000000 UTC,FALSE
1138,151,2023-03-30 15:38:49.816668 UTC,,notCheckedIn,2023-04-06 08:00:00.000000 UTC,2023-04-06 17:00:00.000000 UTC,FALSE
38,152,2023-04-03 14:23:46.425977 UTC,,checkedIn,2023-04-04 07:15:00.000000 UTC,2023-04-04 16:00:00.000000 UTC,FALSE
824,153,2023-04-05 05:41:10.707808 UTC,,readyForNonQRCheckIn,2023-04-05 06:00:00.000000 UTC,2023-04-05 17:00:00.000000 UTC,FALSE
228,154,2023-04-05 06:23:14.396704 UTC,,checkedIn,2023-04-05 06:00:00.000000 UTC,2023-04-05 17:00:00.000000 UTC,FALSE
1165,155,2023-04-05 11:45:43.856652 UTC,,notCheckedIn,2023-04-06 07:00:00.000000 UTC,2023-04-06 16:30:00.000000 UTC,FALSE
65,156,2023-04-11 06:14:55.882756 UTC,,checkedIn,2023-04-11 04:00:00.000000 UTC,2023-04-11 16:30:00.000000 UTC,FALSE
91,157,2023-04-12 04:43:15.679204 UTC,,checkInNotAvailable,2023-04-12 05:00:00.000000 UTC,2023-04-12 16:00:00.000000 UTC,FALSE
40,158,2023-04-14 22:00:20.839895 UTC,,notCheckedIn,2023-04-21 06:00:00.000000 UTC,2023-04-21 17:00:00.000000 UTC,FALSE
864,159,2023-04-18 07:32:40.319769 UTC,,notCheckedIn,2023-04-19 07:00:00.000000 UTC,2023-04-19 17:00:00.000000 UTC,FALSE
