rn,created_at,company_id,status,demo_user
171,2022-07-09 07:20:52.769056 UTC,3,active,FALSE
179,2022-07-09 07:20:52.769056 UTC,3,active,FALSE
206,2022-07-09 07:23:47.967170 UTC,2,active,FALSE
310,2022-11-01 15:48:00.794563 UTC,10,inactive,FALSE
310,2022-11-01 15:48:00.794563 UTC,10,active,TRUE
310,2023-03-09 10:54:54.885050 UTC,10,active,FALSE
310,2022-11-01 15:48:00.794563 UTC,10,deleted,FALSE
369,2022-12-07 13:36:47.322276 UTC,5,inactive,FALSE
376,2022-12-07 13:36:47.535823 UTC,5,inactive,FALSE
425,2022-12-07 13:37:00.597961 UTC,5,inactive,FALSE
429,2022-12-07 13:37:01.095393 UTC,5,inactive,FALSE
431,2022-12-07 13:37:01.456946 UTC,5,inactive,FALSE
473,2022-12-07 13:37:04.553840 UTC,5,inactive,FALSE
493,2022-12-07 13:37:06.359778 UTC,5,inactive,FALSE
627,2022-12-07 13:39:28.716027 UTC,5,inactive,FALSE
737,2022-12-07 13:56:07.724466 UTC,5,inactive,FALSE
803,2023-01-02 10:01:56.697102 UTC,3,active,FALSE
806,,5,inactive,FALSE
963,,7,inactive,FALSE
971,,7,inactive,FALSE
1005,,7,inactive,FALSE
1054,,7,inactive,FALSE
1086,,7,inactive,FALSE
1131,,7,inactive,FALSE
1177,,3,active,FALSE
27,,2,deleted,FALSE
36,,3,active,FALSE
62,,2,active,FALSE
65,,2,active,FALSE
99,,10,active,"""TRUE"""
246,,3,active,"""TRUE"""
381,,5,deleted,FALSE
413,,5,inactive,FALSE
472,,5,inactive,FALSE
514,,5,inactive,FALSE
649,2022-12-07 13:39:30.687764 UTC,5,inactive,FALSE
756,2022-12-07 13:56:09.977076 UTC,5,inactive,FALSE
786,2022-12-07 13:56:13.432470 UTC,5,inactive,FALSE
829,2023-01-26 08:37:42.597864 UTC,5,inactive,FALSE
922,2023-03-09 10:55:42.157922 UTC,7,inactive,FALSE
954,2023-03-09 11:05:05.643550 UTC,7,inactive,FALSE
975,2023-03-09 11:05:32.478839 UTC,7,inactive,FALSE
1041,2023-03-09 11:07:02.326440 UTC,7,inactive,FALSE
1083,2023-03-09 11:07:51.118231 UTC,7,inactive,FALSE
1154,2023-03-30 11:18:45.004370 UTC,2,active,FALSE
1160,2023-04-03 13:20:45.521996 UTC,5,inactive,FALSE
1,2022-07-09 07:12:00.650758 UTC,10,active,FALSE
18,2022-07-09 07:12:00.650758 UTC,2,deleted,FALSE
46,2022-07-09 07:12:00.650758 UTC,2,active,FALSE
51,2022-07-09 07:14:55.459613 UTC,10,active,FALSE
73,2022-07-09 07:14:55.459613 UTC,3,active,FALSE
90,2022-07-09 07:17:56.295500 UTC,10,active,FALSE
227,2022-07-09 07:23:47.967170 UTC,3,active,FALSE
243,2022-07-09 07:24:36.730302 UTC,2,active,FALSE
309,2022-11-01 14:35:39.493233 UTC,2,deleted,FALSE
333,2022-12-07 13:36:44.861023 UTC,5,inactive,FALSE
352,2022-12-07 13:36:45.432641 UTC,5,inactive,FALSE
358,2022-12-07 13:36:46.974164 UTC,5,inactive,FALSE
378,2022-12-07 13:36:47.979986 UTC,5,inactive,FALSE
383,2022-12-07 13:36:48.911402 UTC,5,inactive,FALSE
441,2022-12-07 13:37:02.025356 UTC,5,inactive,FALSE
445,2022-12-07 13:37:02.518147 UTC,5,active,FALSE
453,2022-12-07 13:37:03.151878 UTC,5,inactive,FALSE
487,2022-12-07 13:37:05.790936 UTC,5,inactive,FALSE
498,2022-12-07 13:37:06.504850 UTC,5,inactive,FALSE
550,2022-12-07 13:37:16.361930 UTC,5,inactive,FALSE
636,2022-12-07 13:39:29.074667 UTC,5,inactive,FALSE
709,2022-12-07 13:39:36.843832 UTC,5,inactive,FALSE
738,2022-12-07 13:56:07.783693 UTC,5,inactive,FALSE
